Date,Predicted_Price,Original_Price,Model,Daily_Return,Cumulative_Return,Daily_Change,Daily_Pct_Change
2025-03-25,223.75,236.7595539048452,AAPL_detailed_forecast,0.0,0.0,13.009553904845204,5.814325767528583
2025-03-26,225.66254753958395,238.78330318883943,AAPL_detailed_forecast,0.008547698500933842,0.008547698500933842,2.023749283994249,0.8547698500934006
2025-03-27,227.20291309234537,240.4132306128492,AAPL_detailed_forecast,0.006825968994661036,0.015432013820537938,1.6299274240097077,0.68259689946608
2025-03-28,228.1715205801105,241.43815609536165,AAPL_detailed_forecast,0.004263182520777953,0.019760985832895983,1.0249254825124865,0.4263182520778073
2025-03-29,227.95156185378335,241.20540825213175,AAPL_detailed_forecast,-0.0009640060502200676,0.01877793007277484,-0.2327478432298733,-0.0964006050219933
2025-03-30,228.128631925701,241.39277375486748,AAPL_detailed_forecast,0.0007767881495421847,0.019569304695870482,0.1873655027357017,0.0776788149542023
2025-03-31,228.8112038908023,242.1150326776176,AAPL_detailed_forecast,0.002992048649656631,0.022619905657216943,0.722258922750143,0.2992048649656727
2025-04-01,228.62898216534646,241.92221598742452,AAPL_detailed_forecast,-0.0007963846278383757,0.021805506884229997,-0.1928166901930694,-0.0796384627838494
2025-04-02,228.30191308586532,241.5761300461775,AAPL_detailed_forecast,-0.001430567010286543,0.02034374563515229,-0.346085941247054,-0.1430567010286662
2025-04-03,228.68432960789156,241.9807815105832,AAPL_detailed_forecast,0.0016750473829030277,0.022052869755939897,0.4046514644056742,0.1675047382902957
2025-04-04,228.42334009997182,241.70461722245395,AAPL_detailed_forecast,-0.0011412653782060245,0.020886436200991287,-0.2761642881292232,-0.1141265378205851
2025-04-05,228.47530232732763,241.75960070298427,AAPL_detailed_forecast,0.0002274821274088623,0.02111866961934128,0.0549834805303248,0.0227482127408929
2025-04-06,228.7369361634303,242.03644678263603,AAPL_detailed_forecast,0.0011451296198652372,0.022287982853319788,0.2768460796517615,0.1145129619865161
2025-04-07,228.09163997012536,241.3536309664869,AAPL_detailed_forecast,-0.002821128078955626,0.019403977520113358,-0.6828158161491729,-0.2821128078955747
